key,place_name,admin_name1,latitude,longitude,accuracy
383440,Kadiadra,Gujarat,23.8333,73,0
383462,Kadiawada,Gujarat,23.8333,73,0
383781,Fatepur (Sk),Gujarat,23.5762,74.9214,0
384001,Mahesana H O,Gujarat,23.5037,72.1241,0
384002,Railway Colony,Gujarat,23.5037,72.1241,0
384011,Gambhu,Gujarat,23.5037,72.1241,0
384110,Balisana,Gujarat,23.5037,72.1241,0
384121,Daumoti,Gujarat,23.5037,72.1241,0
384122,Jetalvasna,Gujarat,23.5037,72.1241,0
384130,Kahoda,Gujarat,23.5037,72.1241,0
384132,Lunva,Gujarat,23.5037,72.1241,0
384133,Mandali,Gujarat,23.5037,72.1241,0
384140,Kamli,Gujarat,23.5037,72.1241,0
384151,Zampli Pole,Gujarat,23.5037,72.1241,0
384160,Unava,Gujarat,23.5037,72.1241,0
384170,Unjha H O,Gujarat,23.5037,72.1241,0
384172,Dasaj,Gujarat,23.5037,72.1241,0
384175,Aithor,Gujarat,23.5037,72.1241,0
384177,Upera,Gujarat,23.5037,72.1241,0
384178,Maktupur,Gujarat,23.5037,72.1241,0
384205,Panchot,Gujarat,23.63,71.98,0
384206,Palodar,Gujarat,23.63,71.98,0
384207,Chhatiarda,Gujarat,23.63,71.98,0
384211,Sankhalpur,Gujarat,23.5333,72.0333,4
384213,Kalri,Gujarat,23.5167,72.0667,4
384220,Chanasma,Gujarat,23.7167,72.1167,4
384221,Vadavli,Gujarat,23.7167,72.1167,0
384229,Lanva,Gujarat,23.7167,72.1167,0
384230,Kamboi,Gujarat,23.63,71.98,0
384231,Kalyana,Gujarat,23.63,71.98,0
384235,Palasar,Gujarat,23.63,71.98,0
384240,Harij,Gujarat,23.7,71.9,4
384242,Lolada,Gujarat,23.6917,71.8417,0
384245,Sami,Gujarat,23.6833,71.7833,4
384246,Sankheswar,Gujarat,23.6917,71.8417,0
384256,Chandrumana,Gujarat,23.63,71.98,0
384257,Adia,Gujarat,23.63,71.98,0
384265,Rajkawada,Gujarat,23.63,71.98,0
384271,Aghar,Gujarat,23.63,71.98,0
384274,Wamaiya,Gujarat,23.63,71.98,0
384276,Sander,Gujarat,23.63,71.98,0
384277,Sankhari,Gujarat,23.63,71.98,0
384285,Wagrod,Gujarat,23.63,71.98,0
384290,Kakoshi,Gujarat,23.63,71.98,0
384305,Kada,Gujarat,23.7833,72.5667,0
384312,Tarabh,Gujarat,23.7833,72.5667,0
384320,Umta,Gujarat,23.7833,72.5667,4
384321,Jaska,Gujarat,23.7833,72.5667,0
384327,Dabhad,Gujarat,23.7833,72.5667,0
384328,DABHODA (Mahesana),Gujarat,23.7833,72.5667,0
384350,Taranga Hill R S,Gujarat,23.7833,72.5667,0
384365,Chhablia,Gujarat,23.7833,72.5667,0
384370,Kahipur,Gujarat,23.7833,72.5667,0
384375,Kamana,Gujarat,23.7833,72.5667,0
384410,Balol,Gujarat,22.5333,72.1167,4
384411,Maguna,Gujarat,23.5833,72.2833,4
384430,Santhal,Gujarat,23.4833,72.25,4
384435,Linch,Gujarat,23.4833,72.25,0
384440,Lakhvad,Gujarat,23.2,72.2167,0
384513,Dabhi,Gujarat,23.5037,72.1241,0
385001,Palanpur Joravar,Gujarat,24,71.9333,0
385002,Palace,Gujarat,24,71.9333,0
385010,Chitrasani,Gujarat,24,71.9333,0
385011,Jagana,Gujarat,24,71.9333,0
385111,Chadotar,Gujarat,24.2333,72.5167,0
385112,Malan,Gujarat,24.2333,72.5167,4
385120,Danta Bhavangadh,Gujarat,24.1833,72.7667,4
385135,Iqbalgadh,Gujarat,24.2083,72.6417,0
385210,Chhapi,Gujarat,24,71.9333,0
385215,Majadar,Gujarat,24,71.9333,0
385315,Ramsan,Gujarat,24.4333,72.05,4
385325,Tervada,Gujarat,24.0333,71.7,4
385340,Radhanpur,Gujarat,23.8333,71.6,4
385350,Santalpur,Gujarat,23.75,71.1667,4
385410,Vadgam,Gujarat,23.3667,71.7667,4
385421,Mamadpur,Gujarat,23.3667,71.7667,0
385505,Dantiwada Colony,Gujarat,24.0333,71.9267,0
385510,Chandisar,Gujarat,24.2167,72.3167,4
